anio,GENRE,CANTIDAD
1931,Shoujo Ai,0.0
1931,Yaoi,0.0
1932,Comedy,1.0
1932,Drama,0.0
1932,Kids,0.0
1932,Samurai,1.0
1932,Demons,0.0
1932,Fantasy,0.0
1932,Historical,0.0
1932,Adventure,0.0
1932,Romance,0.0
1932,Action,0.0
1932,Music,0.0
1932,Sports,0.0
1932,Military,0.0
1932,Slice of Life,0.0
1932,Supernatural,0.0
1932,Dementia,0.0
1932,Ecchi,0.0
1932,Mecha,0.0
1932,Sci-Fi,0.0
1932,Shounen,0.0
1932,Mystery,0.0
1932,School,0.0
1932,Space,0.0
1932,Super Power,0.0
1932,Magic,0.0
1932,Shoujo,0.0
1932,Cars,0.0
1932,Horror,0.0
1932,Martial Arts,0.0
1932,Parody,0.0
1932,Police,0.0
1932,Hentai,0.0
1932,Psychological,0.0
1932,Vampire,0.0
1932,Seinen,0.0
1932,Shounen Ai,0.0
1932,Game,0.0
1932,Yuri,0.0
1932,Thriller,0.0
1932,Josei,0.0
1932,Harem,0.0
1932,Shoujo Ai,0.0
1932,Yaoi,0.0
1933,Comedy,3.0
1933,Drama,0.0
1933,Kids,0.0
1933,Samurai,0.0
1933,Demons,0.0
1933,Fantasy,0.0
1933,Historical,1.0
1933,Adventure,4.0
1933,Romance,0.0
1933,Action,2.0
1933,Music,0.0
1933,Sports,0.0
1933,Military,0.0
1933,Slice of Life,1.0
1933,Supernatural,1.0
1933,Dementia,0.0
1933,Ecchi,0.0
1933,Mecha,0.0
1933,Sci-Fi,0.0
1933,Shounen,0.0
1933,Mystery,0.0
1933,School,0.0
1933,Space,0.0
1933,Super Power,0.0
1933,Magic,0.0
1933,Shoujo,0.0
1933,Cars,0.0
1933,Horror,0.0
1933,Martial Arts,0.0
1933,Parody,0.0
1933,Police,0.0
1933,Hentai,0.0
1933,Psychological,0.0
1933,Vampire,0.0
1933,Seinen,0.0
1933,Shounen Ai,0.0
1933,Game,0.0
1933,Yuri,0.0
1933,Thriller,0.0
1933,Josei,0.0
1933,Harem,0.0
1933,Shoujo Ai,0.0
1933,Yaoi,0.0
1934,Comedy,2.0
1934,Drama,0.0
1934,Kids,2.0
1934,Samurai,0.0
1934,Demons,0.0
1934,Fantasy,2.0
1934,Historical,0.0
1934,Adventure,2.0
1934,Romance,1.0
1934,Action,0.0
1934,Music,0.0
1934,Sports,0.0
1934,Military,1.0
1934,Slice of Life,0.0
1934,Supernatural,0.0
1934,Dementia,0.0
1934,Ecchi,0.0
1934,Mecha,0.0
1934,Sci-Fi,0.0
1934,Shounen,0.0
1934,Mystery,0.0
1934,School,0.0
1934,Space,0.0
1934,Super Power,0.0
1934,Magic,0.0
1934,Shoujo,0.0
1934,Cars,0.0
1934,Horror,0.0
1934,Martial Arts,0.0
1934,Parody,0.0
1934,Police,0.0
1934,Hentai,0.0
1934,Psychological,0.0
1934,Vampire,0.0
1934,Seinen,0.0
1934,Shounen Ai,0.0
1934,Game,0.0
1934,Yuri,0.0
1934,Thriller,0.0
1934,Josei,0.0
1934,Harem,0.0
1934,Shoujo Ai,0.0
1934,Yaoi,0.0
1935,Comedy,2.0
1935,Drama,0.0
1935,Kids,1.0
1935,Samurai,1.0
1935,Demons,0.0
1935,Fantasy,0.0
1935,Historical,1.0
1935,Adventure,1.0
1935,Romance,0.0
1935,Action,2.0
1935,Music,0.0
1935,Sports,0.0
1935,Military,0.0
1935,Slice of Life,0.0
1935,Supernatural,1.0
1935,Dementia,0.0
1935,Ecchi,0.0
1935,Mecha,0.0
1935,Sci-Fi,0.0
