anio_mes,SOURCES,ID_ANIME,Acumulado
1998-10-01,Radio,0.0,0.0
1998-10-01,Unknown,7.0,120.0
1998-10-01,Visual novel,1.0,1.0
1998-10-01,Web manga,0.0,0.0
1999-07-01,4-koma manga,1.0,20.0
1999-07-01,Book,0.0,4.0
1999-07-01,Card game,0.0,0.0
1999-07-01,Digital manga,0.0,0.0
1999-07-01,Game,4.0,7.0
1999-07-01,Light novel,0.0,5.0
1999-07-01,Manga,6.0,79.0
1999-07-01,Music,0.0,1.0
1999-07-01,Novel,0.0,9.0
1999-07-01,Original,1.0,40.0
1999-07-01,Other,2.0,4.0
1999-07-01,Picture book,1.0,4.0
1999-07-01,Radio,0.0,0.0
1999-07-01,Unknown,14.0,134.0
1999-07-01,Visual novel,3.0,4.0
1999-07-01,Web manga,0.0,0.0
2000-12-01,4-koma manga,1.0,21.0
2000-12-01,Book,0.0,4.0
2000-12-01,Card game,1.0,1.0
2000-12-01,Digital manga,0.0,0.0
2000-12-01,Game,2.0,9.0
2000-12-01,Light novel,0.0,5.0
2000-12-01,Manga,3.0,82.0
2000-12-01,Music,0.0,1.0
2000-12-01,Novel,0.0,9.0
2000-12-01,Original,1.0,41.0
2000-12-01,Other,0.0,4.0
2000-12-01,Picture book,0.0,4.0
2000-12-01,Radio,0.0,0.0
2000-12-01,Unknown,12.0,146.0
2000-12-01,Visual novel,1.0,5.0
2000-12-01,Web manga,0.0,0.0
2001-07-01,4-koma manga,1.0,22.0
2001-07-01,Book,0.0,4.0
2001-07-01,Card game,0.0,1.0
2001-07-01,Digital manga,0.0,0.0
2001-07-01,Game,4.0,13.0
2001-07-01,Light novel,3.0,8.0
2001-07-01,Manga,3.0,85.0
2001-07-01,Music,0.0,1.0
2001-07-01,Novel,1.0,10.0
2001-07-01,Original,6.0,47.0
2001-07-01,Other,1.0,5.0
2001-07-01,Picture book,0.0,4.0
2001-07-01,Radio,0.0,0.0
2001-07-01,Unknown,18.0,164.0
2001-07-01,Visual novel,3.0,8.0
2001-07-01,Web manga,0.0,0.0
2001-12-01,4-koma manga,1.0,23.0
2001-12-01,Book,0.0,4.0
2001-12-01,Card game,0.0,1.0
2001-12-01,Digital manga,0.0,0.0
2001-12-01,Game,1.0,14.0
2001-12-01,Light novel,1.0,9.0
2001-12-01,Manga,5.0,90.0
2001-12-01,Music,0.0,1.0
2001-12-01,Novel,0.0,10.0
2001-12-01,Original,4.0,51.0
2001-12-01,Other,0.0,5.0
2001-12-01,Picture book,0.0,4.0
2001-12-01,Radio,0.0,0.0
2001-12-01,Unknown,22.0,186.0
2001-12-01,Visual novel,4.0,12.0
2001-12-01,Web manga,0.0,0.0
2002-04-01,4-koma manga,1.0,24.0
2002-04-01,Book,0.0,4.0
2002-04-01,Card game,0.0,1.0
2002-04-01,Digital manga,0.0,0.0
2002-04-01,Game,2.0,16.0
2002-04-01,Light novel,0.0,9.0
2002-04-01,Manga,17.0,107.0
2002-04-01,Music,0.0,1.0
2002-04-01,Novel,1.0,11.0
2002-04-01,Original,12.0,63.0
2002-04-01,Other,0.0,5.0
2002-04-01,Picture book,0.0,4.0
2002-04-01,Radio,0.0,0.0
2002-04-01,Unknown,10.0,196.0
2002-04-01,Visual novel,3.0,15.0
2002-04-01,Web manga,0.0,0.0
2002-08-01,4-koma manga,1.0,25.0
2002-08-01,Book,0.0,4.0
2002-08-01,Card game,0.0,1.0
2002-08-01,Digital manga,0.0,0.0
2002-08-01,Game,2.0,18.0
